Cliente,Contrato,Tipo de Crédito,Montante a Recuperar
Cliente0001,Contrato3253,Crédito Individual,"1,109.33"
Cliente0002,Contrato1423,Outro Crédito,"3,166.67"
Cliente0002,Contrato1961,Crédito Habitação,"58,957.38"
Cliente0002,Contrato2200,Crédito Cartões,"6,169.21"
Cliente0002,Contrato2695,Crédito Individual,"4,251.84"
Cliente0003,Contrato2181,Crédito Cartões,"13,366.11"
Cliente0004,Contrato1527,Outro Crédito,"12,471.62"
Cliente0005,Contrato3141,Crédito Individual,"4,640.72"
Cliente0006,Contrato3143,Crédito Individual,303.33
Cliente0007,Contrato0813,Outro Crédito,38.78
Cliente0007,Contrato2961,Crédito Individual,"5,177.54"
Cliente0007,Contrato2977,Crédito Individual,"14,339.56"
Cliente0008,Contrato0188,Outro Crédito,7.63
Cliente0009,Contrato1441,Outro Crédito,"39,623.23"
Cliente0010,Contrato2179,Crédito Cartões,748.63
Cliente0011,Contrato1431,Outro Crédito,"8,037.35"
Cliente0011,Contrato1764,Crédito Habitação,"94,946.50"
Cliente0012,Contrato1408,Outro Crédito,141.46
Cliente0012,Contrato3131,Crédito Habitação,"38,361.97"
Cliente0013,Contrato2962,Crédito Habitação,590.35
Cliente0014,Contrato2477,Crédito Cartões,63.25
Cliente0015,Contrato1654,Outro Crédito,"2,613.24"
Cliente0016,Contrato1584,Outro Crédito,996.92
Cliente0017,Contrato2428,Crédito Cartões,682.31
Cliente0017,Contrato2806,Crédito Individual,"6,856.49"
Cliente0017,Contrato2869,Crédito Individual,"4,199.07"
Cliente0018,Contrato3076,Crédito Individual,"2,076.62"
Cliente0019,Contrato2175,Crédito Individual,"3,576.62"
Cliente0019,Contrato2187,Crédito Cartões,"1,152.15"
Cliente0020,Contrato0592,Outro Crédito,478.90
Cliente0020,Contrato3160,Crédito Individual,"4,600.34"
Cliente0021,Contrato1556,Outro Crédito,"2,663.11"
Cliente0021,Contrato1557,Outro Crédito,"2,325.63"
Cliente0021,Contrato1557,Outro Crédito,"3,038.83"
Cliente0021,Contrato1558,Outro Crédito,399.04
Cliente0021,Contrato1559,Outro Crédito,"1,715.86"
